question_id,set_id,set_title,question_order,prompt,sentence_template,blank_count,options_text,correct_order_text,distractors_text,final_sentence,grammar_tags_text
202602-0201-1-Q01,202602-0201-1,2.1 - 1,1,Which programming language are you learning?,One ______ ______ ______ ______ ______ ______.,6,"[""is"", ""most"", ""demand right"", ""now"", ""that"", ""in""]","[""that"", ""is"", ""most"", ""in"", ""demand right"", ""now""]",[],One that is most in demand right now.,relative clause
202602-0201-1-Q02,202602-0201-1,2.1 - 1,2,Why haven’t you joined the college sports club?,______ ______ ______ ______many ______.,5,"[""I’m"", ""of"", ""activities"", ""already part"", ""too""]","[""I’m"", ""already part"", ""of"", ""too"", ""activities""]",[],I’m already part of too many activities.,basic sentence order
202602-0201-1-Q03,202602-0201-1,2.1 - 1,3,Have you decided on a major yet?,"No, ______ ______ ______ ______.",4,"[""my"", ""options"", ""still considering"", ""I’m""]","[""I’m"", ""still considering"", ""my"", ""options""]",[],"No, I’m still considering my options.",negative sentence
202602-0201-1-Q04,202602-0201-1,2.1 - 1,4,Are you going to the campus security meeting tomorrow?,______ ______ ______ ______ plans ______ ______.,6,"[""No,"", ""I"", ""have"", ""for"", ""other"", ""that evening""]","[""No,"", ""I"", ""have"", ""other"", ""for"", ""that evening""]",[],"No, I have other plans for that evening.",negative sentence
202602-0201-1-Q05,202602-0201-1,2.1 - 1,5,Why are you not participating in the freshman social event?,______ ______ engagement ______ ______ ______ ______.,6,"[""miss"", ""I have"", ""that"", ""a prior"", ""I"", ""can’t""]","[""I have"", ""a prior"", ""that"", ""I"", ""can’t"", ""miss""]",[],I have a prior engagement that I can’t miss.,negative sentence; modal/auxiliary; have + noun phrase
202602-0201-1-Q06,202602-0201-1,2.1 - 1,6,Which environmental ethics course are you planning to take?,The one ______ ______ ______ ______ ______.,5,"[""focuses"", ""that"", ""energy"", ""renewable"", ""on""]","[""that"", ""focuses"", ""on"", ""renewable"", ""energy""]",[],The one that focuses on renewable energy.,relative clause
202602-0201-1-Q07,202602-0201-1,2.1 - 1,7,Are you free to go the university gala this weekend?,"No, ______ ______ ______ ______ ______.",5,"[""I have"", ""plans"", ""family"", ""with"", ""my""]","[""I have"", ""plans"", ""with"", ""my"", ""family""]",[],"No, I have plans with my family.",negative sentence; have + noun phrase
202602-0201-1-Q08,202602-0201-1,2.1 - 1,8,Did you hear about the new admissions policy change?,"No, ______ ______ ______ ______ ______ ______.",6,"[""is explained"", ""the website"", ""it"", ""on"", ""I heard that"", ""but""]","[""but"", ""I heard that"", ""it"", ""is explained"", ""on"", ""the website""]",[],"No, but I heard that it is explained on the website.",negative sentence
202602-0201-1-Q09,202602-0201-1,2.1 - 1,9,Are you attending the training session today?,"No, I ______ ______ ______ ______ ______ ______.",6,"[""have a"", ""the"", ""at"", ""conflicting lecture"", ""time"", ""same""]","[""have a"", ""conflicting lecture"", ""at"", ""the"", ""same"", ""time""]",[],"No, I have a conflicting lecture at the same time.",negative sentence; have + noun phrase
202602-0201-1-Q10,202602-0201-1,2.1 - 1,10,Why didn’t you attend the class competition last night?,______ ______ ______ ______ to ______ ______.,6,"[""and"", ""in"", ""decided"", ""stay"", ""I wasn’t"", ""feeling well""]","[""I wasn’t"", ""feeling well"", ""and"", ""decided"", ""stay"", ""in""]",[],I wasn’t feeling well and decided to stay in.,negative sentence; infinitive/to phrase
202602-0201-2-Q01,202602-0201-2,2.1 - 2,1,Why haven’t you bought the new school uniform?,I’m ______ ______ ______ ______ ______ .,5,"[""deal"", ""for"", ""waiting"", ""a"", ""better""]","[""waiting"", ""for"", ""a"", ""better"", ""deal""]",[],I’m waiting for a better deal.,basic sentence order
202602-0201-2-Q02,202602-0201-2,2.1 - 2,2,Who inspired you to pursue this major?,I ______ ______ ______ ______ ______ .,5,"[""can’t"", ""recall"", ""me"", ""first encouraged"", ""who""]","[""can’t"", ""recall"", ""who"", ""first encouraged"", ""me""]",[],I can’t recall who first encouraged me.,negative sentence; modal/auxiliary
202602-0201-2-Q03,202602-0201-2,2.1 - 2,3,Why haven’t you visited the new café on campus?,I’ve ______ ______ ______ ______ .,4,"[""work lately"", ""too busy"", ""been"", ""with""]","[""been"", ""too busy"", ""with"", ""work lately""]",[],I’ve been too busy with work lately.,basic sentence order
202602-0201-2-Q04,202602-0201-2,2.1 - 2,4,Why aren’t you attending the chemistry lab today?,I ______ ______ ______ ______ .,4,"[""appointment"", ""a"", ""conflicting"", ""have""]","[""have"", ""a"", ""conflicting"", ""appointment""]",[],I have a conflicting appointment.,have + noun phrase
202602-0201-2-Q05,202602-0201-2,2.1 - 2,5,Why didn’t you finish your assignment?,I ______ ______ ______ ______ .,4,"[""instructions"", ""the"", ""didn’t"", ""understand""]","[""didn’t"", ""understand"", ""the"", ""instructions""]",[],I didn’t understand the instructions.,negative sentence
202602-0201-2-Q06,202602-0201-2,2.1 - 2,6,Can you guess where I heard about the seminar?,______ ______ ______ ______ ______ ______ classmate?,6,"[""been"", ""from"", ""have"", ""a"", ""could it"", ""former""]","[""could it"", ""have"", ""been"", ""from"", ""a"", ""former""]",[],Could it have been from a former classmate?,modal/auxiliary
202602-0201-2-Q07,202602-0201-2,2.1 - 2,7,Did you complete the final project?,______ ______ ______ ______ to ______ ______.,6,"[""it"", ""no, I"", ""more"", ""time"", ""finish"", ""needed""]","[""no, I"", ""needed"", ""more"", ""time"", ""finish"", ""it""]",[],"No, I needed more time to finish it.",negative sentence; infinitive/to phrase
202602-0201-2-Q08,202602-0201-2,2.1 - 2,8,Are you going to the university’s charity event this weekend?,"No, ______ ______ already ______ ______ ______.",5,"[""have"", ""commitments"", ""made"", ""other"", ""I""]","[""I"", ""have"", ""made"", ""other"", ""commitments""]",[],"No, I have already made other commitments.",negative sentence; have + noun phrase
202602-0201-2-Q09,202602-0201-2,2.1 - 2,9,Are you going to the class dinner tonight?,"I’m sorry, but ______ ______ ______ ______ ______ ______.",6,"[""do"", ""none"", ""have"", ""time"", ""not"", ""I"", ""to attend""]","[""I"", ""do"", ""not"", ""have"", ""time"", ""to attend""]","[""none""]","I’m sorry, but I do not have time to attend.",negative sentence; infinitive/to phrase
202602-0201-2-Q10,202602-0201-2,2.1 - 2,10,I need to study for my exams this weekend.,______ ______ ______ ______ ______ ______ yet?,6,"[""a"", ""study"", ""plan"", ""you"", ""made"", ""have""]","[""have"", ""you"", ""made"", ""a"", ""study"", ""plan""]",[],Have you made a study plan yet?,basic sentence order
202602-0201-3-Q01,202602-0201-3,2.1 - 3,1,Why didn’t you attend your morning class?,______ ______ doctor’s ______ ______ ______ ______ ______.,7,"[""at"", ""I had"", ""appointment"", ""same"", ""the"", ""time"", ""a""]","[""I had"", ""a"", ""appointment"", ""at"", ""the"", ""same"", ""time""]",[],I had a doctor’s appointment at the same time.,have + noun phrase
