question_id,set_id,set_title,question_order,prompt,sentence_template,blank_count,options_text,correct_order_text,distractors_text,final_sentence,grammar_tags_text
202603-0301-1-Q01,202603-0301-1,3.1 - 1,1,I saw a job posting for a part-time position at the student bookstore.,______ ______ ______ ______ ______ yet?,5,"[""for"", ""you"", ""have"", ""it"", ""applied""]","[""have"", ""you"", ""applied"", ""for"", ""it""]",[],Have you applied for it yet?,
202603-0301-1-Q02,202603-0301-1,3.1 - 1,2,I’m thinking of applying for a scholarship.,______ ______ ______ ______ ______ ______?,6,"[""application"", ""started"", ""you"", ""have"", ""the"", ""process""]","[""have"", ""you"", ""started"", ""the"", ""application"", ""process""]",[],Have you started the application process?,
202603-0301-1-Q03,202603-0301-1,3.1 - 1,3,Hannah mentioned the upcoming research conference in her email.,______ ______ know ______ ______ ______ ______?,6,"[""the schedule"", ""do"", ""if"", ""she"", ""you"", ""included""]","[""do"", ""you"", ""if"", ""she"", ""included"", ""the schedule""]",[],Do you know if she included the schedule?,
202603-0301-1-Q04,202603-0301-1,3.1 - 1,4,I have a meeting with my advisor this afternoon.,______ ______ you ______ ______?,4,"[""What"", ""discussing"", ""be"", ""will""]","[""What"", ""will"", ""be"", ""discussing""]",[],What will you be discussing?,
202603-0301-1-Q05,202603-0301-1,3.1 - 1,5,I need to finish my essay by Friday.,______ ______ are ______ ______ ______?,5,"[""writing"", ""you"", ""about"", ""topic"", ""what""]","[""what"", ""topic"", ""you"", ""writing"", ""about""]",[],What topic are you writing about?,
202603-0301-1-Q06,202603-0301-1,3.1 - 1,6,Tomorrow is the big game between our school and the rival team.,______ ______ does ______ ______ ______?,5,"[""the"", ""what"", ""game"", ""start"", ""time""]","[""what"", ""time"", ""the"", ""game"", ""start""]",[],What time does the game start?,
202603-0301-1-Q07,202603-0301-1,3.1 - 1,7,Did you finish the assignment on time?,______ ______ ______ ______ ______ ______ ______ the deadline.,7,"[""not"", ""it"", ""before"", ""to complete"", ""able"", ""was"", ""I""]","[""I"", ""was"", ""not"", ""able"", ""to complete"", ""it"", ""before""]",[],I was not able to complete it before the deadline.,
202603-0301-1-Q08,202603-0301-1,3.1 - 1,8,The assignment deadline has been extended.,Do ______ ______ ______ ______ ______ ______?,6,"[""the new"", ""due date"", ""know"", ""has been announced"", ""you"", ""if""]","[""you"", ""know"", ""if"", ""the new"", ""due date"", ""has been announced""]",[],Do you know if the new due date has been announced?,
202603-0301-1-Q09,202603-0301-1,3.1 - 1,9,Did you get a chance to review the report?,"Sorry, but I ______ ______ ______ ______ ______ ______ ______ yet.",7,"[""to look"", ""not"", ""at"", ""time"", ""have"", ""had"", ""it""]","[""have"", ""not"", ""had"", ""time"", ""to look"", ""at"", ""it""]",[],"Sorry, but I have not had time to look at it yet.",
202603-0301-1-Q10,202603-0301-1,3.1 - 1,10,Why aren’t you attending the conference?,The dates ______ ______ ______ ______ ______ ______.,6,"[""it"", ""conflict with"", ""other commitments"", ""when"", ""is scheduled"", ""my""]","[""when"", ""it"", ""is scheduled"", ""conflict with"", ""my"", ""other commitments""]",[],The dates when it is scheduled conflict with my other commitments,
