source_label,source_module,source_occurrence_id,logical_item_id,logical_question_id,source_question_number,question_order,question_type,question_text,highlighted_text,paragraph_id,paragraph_order,start_offset,end_offset,confidence,evidence_kind,reason,candidate_source_question_numbers,passage_text_occurrence_count,offset_verified
5.3A,m1,reading-source-5-3a-m1-rap-13,reading-rap-7945215d82567f1f6f2af63a,reading-rap-7945215d82567f1f6f2af63a-q01,31,1,rap_multiple_choice,The word “grappling” in the passage is closest in meaning to,grappling,reading-rap-7945215d82567f1f6f2af63a-passage-01-p01,1,33,42,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,31,1,True
5.3A,m2,reading-source-5-3a-m2-rap-19,reading-rap-a892b1f2362ab7405dd93573,reading-rap-a892b1f2362ab7405dd93573-q01,11,1,rap_multiple_choice,The word “prevailing” in the passage is closest in meaning to,prevailing,reading-rap-a892b1f2362ab7405dd93573-passage-01-p01,1,114,124,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,11,1,True
5.3A,m2,reading-source-5-3a-m2-rap-19,reading-rap-a892b1f2362ab7405dd93573,reading-rap-a892b1f2362ab7405dd93573-q03,13,3,rap_multiple_choice,"Why does the author of the passage mention “paraphrasing, summarizing, and clarifying”?","paraphrasing, summarizing, and clarifying",reading-rap-a892b1f2362ab7405dd93573-passage-01-p02,2,178,219,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,13,1,True
5.3B,m1,reading-source-5-3b-m1-rap-08,reading-rap-4f8833c13727320a3fbd20a9,reading-rap-4f8833c13727320a3fbd20a9-q02,27,2,rap_multiple_choice,Why does the author mention “a prism”?,a prism,reading-rap-4f8833c13727320a3fbd20a9-passage-01-p01,1,507,514,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,27,1,True
5.3B,m1,reading-source-5-3b-m1-rap-08,reading-rap-4f8833c13727320a3fbd20a9,reading-rap-4f8833c13727320a3fbd20a9-q05,30,5,rap_multiple_choice,The word “prophecy” in the passage is closest in meaning to,prophecy,reading-rap-4f8833c13727320a3fbd20a9-passage-01-p03,3,178,186,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,30,1,True
5.3B,m1,reading-source-5-3b-m1-rap-13,reading-rap-bad55ea4a5cad4980668095d,reading-rap-bad55ea4a5cad4980668095d-q01,31,1,rap_multiple_choice,The word “revolutionize” in the passage is closest in meaning to,revolutionize,reading-rap-bad55ea4a5cad4980668095d-passage-01-p01,1,30,43,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,31,1,True
5.3B,m1,reading-source-5-3b-m1-rap-13,reading-rap-bad55ea4a5cad4980668095d,reading-rap-bad55ea4a5cad4980668095d-q04,34,4,rap_multiple_choice,Why does the author mention “external disturbances”?,external disturbances,reading-rap-bad55ea4a5cad4980668095d-passage-01-p03,3,90,111,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,34,1,True
5.3B,m2,reading-source-5-3b-m2-rap-19,reading-rap-520073d086537b70cc6ba0fa,reading-rap-520073d086537b70cc6ba0fa-q03,13,3,rap_multiple_choice,The word “sophisticated” in the passage is closest in meaning to,sophisticated,reading-rap-520073d086537b70cc6ba0fa-passage-01-p02,2,69,82,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,13,1,True
5.5A,m1,reading-source-5-5a-m1-rap-08,reading-rap-4986420f2a3c5df66f0fe8d2,reading-rap-4986420f2a3c5df66f0fe8d2-q01,26,1,rap_multiple_choice,The word “harness” in the passage is closest in meaning to,harness,reading-rap-4986420f2a3c5df66f0fe8d2-passage-01-p01,1,587,594,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,26,1,True
5.5A,m1,reading-source-5-5a-m1-rap-08,reading-rap-4986420f2a3c5df66f0fe8d2,reading-rap-4986420f2a3c5df66f0fe8d2-q03,28,3,rap_multiple_choice,Why does the author mention “buoyancy principles”?,buoyancy principles,reading-rap-4986420f2a3c5df66f0fe8d2-passage-01-p02,2,71,90,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,28,1,True
