source_file	question_id	set_id	set_title	question_order	high_confidence_records
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-1-Q01	202602-0201-1	2.1 - 1	1	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-1-Q03	202602-0201-1	2.1 - 1	3	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-1-Q05	202602-0201-1	2.1 - 1	5	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-1-Q06	202602-0201-1	2.1 - 1	6	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-1-Q09	202602-0201-1	2.1 - 1	9	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-1-Q10	202602-0201-1	2.1 - 1	10	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-2-Q01	202602-0201-2	2.1 - 2	1	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-2-Q02	202602-0201-2	2.1 - 2	2	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-2-Q03	202602-0201-2	2.1 - 2	3	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-2-Q04	202602-0201-2	2.1 - 2	4	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-2-Q05	202602-0201-2	2.1 - 2	5	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-2-Q06	202602-0201-2	2.1 - 2	6	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-2-Q07	202602-0201-2	2.1 - 2	7	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-2-Q08	202602-0201-2	2.1 - 2	8	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-2-Q09	202602-0201-2	2.1 - 2	9	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-2-Q10	202602-0201-2	2.1 - 2	10	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-3-Q01	202602-0201-3	2.1 - 3	1	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-3-Q02	202602-0201-3	2.1 - 3	2	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-3-Q03	202602-0201-3	2.1 - 3	3	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-3-Q05	202602-0201-3	2.1 - 3	5	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-3-Q06	202602-0201-3	2.1 - 3	6	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-3-Q07	202602-0201-3	2.1 - 3	7	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-3-Q08	202602-0201-3	2.1 - 3	8	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-3-Q09	202602-0201-3	2.1 - 3	9	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0201-3-Q10	202602-0201-3	2.1 - 3	10	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0202-1-Q01	202602-0202-1	2.2 - 1	1	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0202-1-Q02	202602-0202-1	2.2 - 1	2	2
/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv	202602-0202-1-Q04	202602-0202-1	2.2 - 1	4	2
