"canonical_asset_id","source_labels","source_occurrences","canonical_title","canonical_title_status","visible_text","normalized_text","text_fingerprint","text_fingerprint_status","file_sha256","perceptual_hash","image_width","image_height","aspect_ratio","preview_file","preview_width","preview_height","material_final_path","selection_map_path","asset_status"
"RDL-001","[""5.3A""]","[{""occurrenceId"":""5.3A-M1-RDL-01"",""set"":""5.3A"",""sourceDate"":""2026-05-03"",""sourceFile"":""5月/Questions/5.3A.pdf"",""questionRange"":{""start"":21,""end"":22},""rdlType"":""Read a flyer.""}]","University Robotics Club Workshop","reviewed_canonical","University Robotics Club Workshop
Join us at the Student Center on April 10 from 10:00 A.M. to 2:00 P.M. for a beginner-friendly robotics workshop. • Learn basic programming and build simple robots. • Materials provided • Undergraduate and graduate students Limited spots! Register on the Student Center website
or call 555-3311.
Location: 200 Elm Street","university robotics club workshop join us at the student center on april 10 from 10:00 a.m. to 2:00 p.m. for a beginner-friendly robotics workshop. • learn basic programming and build simple robots. • materials provided • undergraduate and graduate students limited spots! register on the student center website or call 555-3311. location: 200 elm street","sha256:3dea669fb4a623ce8e4a6f9d71dfa4887f9fd215cbdd61de452539576f2ed85c","available","d67047b95e314d1f31f11162de2ef08967998450fdbed5fe0c85fade3635bf87","bd20418a959fc797","608","362","1.67955801","RDL_DEDUP_PREVIEWS/RDL-001.jpg","608","362","public/reading/rdl/rdl-001/material_final.png","public/reading/rdl/rdl-001/selection_map.json","frozen_verified"
"RDL-002","[""5.3A"",""6.30B""]","[{""occurrenceId"":""5.3A-M1-RDL-02"",""set"":""5.3A"",""sourceDate"":""2026-05-03"",""sourceFile"":""5月/Questions/5.3A.pdf"",""questionRange"":{""start"":23,""end"":24},""rdlType"":""Read some instructions.""},{""occurrenceId"":""6.30B-M1-RDL-01"",""set"":""6.30B"",""sourceDate"":""2026-06-30"",""sourceFile"":""6月/PDF/M1_20260630B_ R_01-35_PDF.pdf"",""questionRange"":{""start"":21,""end"":22},""rdlType"":""Read some instructions.""}]","Dorm Printer Setup Instructions","reviewed_canonical","Dorm Printer Setup Instructions
Step 1: Remove the printer from the packaging.
Step 2: Connect the power cable to the printer and plug it into the wall socket.
Step 3: Open the front of the printer by pressing the labeled button.
Step 4: Install the ink cartridges.
Step 5: Turn on the printer and follow the on-screen steps to complete the process.","dorm printer setup instructions step 1: remove the printer from the packaging. step 2: connect the power cable to the printer and plug it into the wall socket. step 3: open the front of the printer by pressing the labeled button. step 4: install the ink cartridges. step 5: turn on the printer and follow the on-screen steps to complete the process.","sha256:a02fe09405c4c33917b841b9d6e18cff720ead81500b9476c5cf5cf257b74001","available","ef5bb11f4ccb824a5527379df8025f4b01a30d61f6cb181bd6d2b6371dd275ee","bf6a4ab4d025964b","558","361","1.54570637","RDL_DEDUP_PREVIEWS/RDL-002.jpg","558","361","public/reading/rdl/rdl-002/material_final.png","public/reading/rdl/rdl-002/selection_map.json","frozen_verified"
"RDL-003","[""5.3A"",""6.10"",""6.22""]","[{""occurrenceId"":""5.3A-M1-RDL-03"",""set"":""5.3A"",""sourceDate"":""2026-05-03"",""sourceFile"":""5月/Questions/5.3A.pdf"",""questionRange"":{""start"":25,""end"":27},""rdlType"":""Read a text-message chain.""},{""occurrenceId"":""6.10-M1-RDL-04"",""set"":""6.10"",""sourceDate"":""2026-06-10"",""sourceFile"":""6月/题目/套题/TOEFL_Reading_6.10.docx"",""questionRange"":{""start"":28,""end"":30},""rdlType"":""Read a text-message chain.""},{""occurrenceId"":""6.22-M1-RDL-04"",""set"":""6.22"",""sourceDate"":""2026-06-22"",""sourceFile"":""6月/题目/套题/TOEFL_Reading_6.22.docx"",""questionRange"":{""start"":28,""end"":30},""rdlType"":""Read a text-message chain.""}]","Mini Fridge Repair Chat","reviewed_canonical","Elena Rowe (4:44 P.M.) Hey Eli. I'm having a problem with my mini fridge. I hear the motor humming, but it's not cooling off. David from our history class tells me you're good at fixing things like this. Could you come by and have a look? Eli Molina (4:45 P.M.) Hey Elena. I'd be happy to take a look. Right now I'm in the library with my math study group. We just got here. Elena Rowe (4:46 P.M.) Oh, I didn't mean right away. Any time is good. Eli Molina (4:47 P.M.) How about tomorrow at 12:30? Elena Rowe (4:48 P.M.) My economics class starts at noon. Does 1:30 work? Eli Molina (4:50 P.M.) That works fine. Chances are it's a broken condenser coil. I've got an extra one, so I'll bring it with me. Elena Rowe (4:51 P.M.) Thank you so much!","elena rowe (4:44 p.m.) hey eli. i'm having a problem with my mini fridge. i hear the motor humming, but it's not cooling off. david from our history class tells me you're good at fixing things like this. could you come by and have a look? eli molina (4:45 p.m.) hey elena. i'd be happy to take a look. right now i'm in the library with my math study group. we just got here. elena rowe (4:46 p.m.) oh, i didn't mean right away. any time is good. eli molina (4:47 p.m.) how about tomorrow at 12:30? elena rowe (4:48 p.m.) my economics class starts at noon. does 1:30 work? eli molina (4:50 p.m.) that works fine. chances are it's a broken condenser coil. i've got an extra one, so i'll bring it with me. elena rowe (4:51 p.m.) thank you so much!","sha256:7076698f027ee9689dc9a2a4d7cbe15992830b66af74a7a8b27f6a526b9e6649","available","b952f9b689c2c7c50b2ce0ab10d5de0bdd19a3ec4f873aa95f264284d3b76965","af33376c166643c1","615","574","1.07142857","RDL_DEDUP_PREVIEWS/RDL-003.jpg","615","574","public/reading/rdl/rdl-003/material_final.png","public/reading/rdl/rdl-003/selection_map.json","frozen_verified"
"RDL-004","[""5.3A""]","[{""occurrenceId"":""5.3A-M1-RDL-04"",""set"":""5.3A"",""sourceDate"":""2026-05-03"",""sourceFile"":""5月/Questions/5.3A.pdf"",""questionRange"":{""start"":28,""end"":30},""rdlType"":""Read a notice.""}]","Full-Spectrum Wellness Journey","reviewed_canonical","IN TUNE WITH WELL-BEING: A Full-Spectrum Wellness Journey
Join us for In Tune With Well-Being: A Full-Spectrum Wellness Journey, a dynamic event designed to enhance your physical, mental, and emotional well-being, on Thursday, November 16 from 10 A.M. to 4 P.M. at the Rowancourt University Community Center.
Discover a range of activities including a restorative yoga session led by renowned instructor Lucas Gyeon, a mindfulness meditation workshop guided by Dr. Elara Mondragón, and a nutrition discussion featuring holistic health coach Jamie Khoa.
Engage in a thought-provoking panel discussion on the intersection of mental health and academic success with faculty members from the Department of Psychology.
Connect with health-conscious peers at our afternoon social, featuring live acoustic music by local students. Admission is free for all students and faculty. Preregistration is encouraged, but walk-ins are welcome! RSVP at wellness.rowancourt.edu. For more information, contact the Wellness Council at wellness@rowancourt.edu or visit our website.","in tune with well-being: a full-spectrum wellness journey join us for in tune with well-being: a full-spectrum wellness journey, a dynamic event designed to enhance your physical, mental, and emotional well-being, on thursday, november 16 from 10 a.m. to 4 p.m. at the rowancourt university community center. discover a range of activities including a restorative yoga session led by renowned instructor lucas gyeon, a mindfulness meditation workshop guided by dr. elara mondragón, and a nutrition discussion featuring holistic health coach jamie khoa. engage in a thought-provoking panel discussion on the intersection of mental health and academic success with faculty members from the department of psychology. connect with health-conscious peers at our afternoon social, featuring live acoustic music by local students. admission is free for all students and faculty. preregistration is encouraged, but walk-ins are welcome! rsvp at wellness.rowancourt.edu. for more information, contact the wellness council at wellness@rowancourt.edu or visit our website.","sha256:433ff3772bfe18807ca968c640e995a0ac9fdd86850bcacb6157d74c0a57175c","available","8cc49602f56e5a50ad8ad64363c8c07ea0c8cee81ed909b1c0382e145b56569e","bde8e0f1c0a49c1f","620","655","0.94656489","RDL_DEDUP_PREVIEWS/RDL-004.jpg","620","655","public/reading/rdl/rdl-004/material_final.png","public/reading/rdl/rdl-004/selection_map.json","frozen_verified"
"RDL-005","[""5.3B"",""6.6A""]","[{""occurrenceId"":""5.3B-M1-RDL-01"",""set"":""5.3B"",""sourceDate"":""2026-05-03"",""sourceFile"":""5月/Questions/5.3B.pdf"",""questionRange"":{""start"":21,""end"":22},""rdlType"":""Read an advertisement.""},{""occurrenceId"":""6.6A-M1-RDL-01"",""set"":""6.6A"",""sourceDate"":""2026-06-06"",""sourceFile"":""6月/PDF/6.6A-阅读.docx"",""questionRange"":{""start"":21,""end"":22},""rdlType"":""Read an advertisement.""}]","Life At Larkhaven","reviewed_canonical","Discover Larkhaven, where lecture halls open to cobblestone courtyards abuzz with debate and steaming coffee.
Ivy-clad dorms echo with laughter and late-night study sessions.
For students seeking a semester abroad, this vibrant town offers more than classes—it's a journey of ideas, friendships, and unforgettable experiences.
Come learn and explore.","discover larkhaven, where lecture halls open to cobblestone courtyards abuzz with debate and steaming coffee. ivy-clad dorms echo with laughter and late-night study sessions. for students seeking a semester abroad, this vibrant town offers more than classes—it's a journey of ideas, friendships, and unforgettable experiences. come learn and explore.","sha256:de76430fdf0e4e322f01873413f869630774086a3240ebe4cca704a8d52a378c","available","ce1ad53aabad1946579964633f375a6bf9eb6d226959a6bce698bec6fcc7e57d","a66ba30c5af04e3b","1124","880","1.27727273","RDL_DEDUP_PREVIEWS/RDL-005.jpg","800","626","public/reading/rdl/rdl-005/material_final.png","public/reading/rdl/rdl-005/selection_map.json","frozen_verified"
"RDL-006","[""5.3B"",""6.6A""]","[{""occurrenceId"":""5.3B-M1-RDL-02"",""set"":""5.3B"",""sourceDate"":""2026-05-03"",""sourceFile"":""5月/Questions/5.3B.pdf"",""questionRange"":{""start"":23,""end"":25},""rdlType"":""Read a schedule.""},{""occurrenceId"":""6.6A-M1-RDL-02"",""set"":""6.6A"",""sourceDate"":""2026-06-06"",""sourceFile"":""6月/PDF/6.6A-阅读.docx"",""questionRange"":{""start"":23,""end"":25},""rdlType"":""Read a schedule.""}]","University Health And Wellness Conference","reviewed_canonical","UNIVERSITY HEALTH AND WELLNESS CONFERENCE Join us on September 20 at Bergsen University for an inspiring day dedicated to your health and wellbeing!
Why attend? • Learn practical tips for boosting your energy and increasing your mental focus for more effective studying. • Chat with wellness professionals who specialize in student health. • Access free resources to support your mental and physical well-being. Schedule Highlights:
9:00 A.M.-10:00 A.M. Registration and Coffee: Meet speakers and fellow students. Keynote: Dr. Aisha Patel on ""The Future of Student 10:00A.M.-11:30 A.M. Healthcare"" Panel: ""Mental Health in the Classroom"" with David Chen, 11:30 A.M.-12:30 P.M. Sofia Martinez, and Dr. Priya Nair 12:30 P.M.-1:00 P.M. Lunch Panel: ""Balancing Academics and Wellness"" with Jamal 1:00 P.M.-2:00 P.M. Robinson, Mei Lin, and Elena Petrova Workshop: Nutrition and Fitness Tips for Busy Student Life 2:00 P.M.-3:30 P.M.
Register now: http://www.universitywellness.org All sessions held in the Butler Wellness Center.","university health and wellness conference join us on september 20 at bergsen university for an inspiring day dedicated to your health and wellbeing! why attend? • learn practical tips for boosting your energy and increasing your mental focus for more effective studying. • chat with wellness professionals who specialize in student health. • access free resources to support your mental and physical well-being. schedule highlights: 9:00 a.m.-10:00 a.m. registration and coffee: meet speakers and fellow students. keynote: dr. aisha patel on ""the future of student 10:00a.m.-11:30 a.m. healthcare"" panel: ""mental health in the classroom"" with david chen, 11:30 a.m.-12:30 p.m. sofia martinez, and dr. priya nair 12:30 p.m.-1:00 p.m. lunch panel: ""balancing academics and wellness"" with jamal 1:00 p.m.-2:00 p.m. robinson, mei lin, and elena petrova workshop: nutrition and fitness tips for busy student life 2:00 p.m.-3:30 p.m. register now: http://www.universitywellness.org all sessions held in the butler wellness center.","sha256:3419c73cabcd48ec87c7d5bca2e47bcbcecdccd621249bc6d69c6f508d881b28","available","d30bafbd8862f0d6c5177a5e509a9f2de8d7070c1a74f58f0a3deee30e10490e","a8afe2707a2e3e18","1258","1224","1.02777778","RDL_DEDUP_PREVIEWS/RDL-006.jpg","800","778","public/reading/rdl/rdl-006/material_final.png","public/reading/rdl/rdl-006/selection_map.json","frozen_verified"
"RDL-007","[""5.5A"",""5.5B""]","[{""occurrenceId"":""5.5A-M1-RDL-01"",""set"":""5.5A"",""sourceDate"":""2026-05-05"",""sourceFile"":""5月/Questions/5.5A-M1.pdf"",""questionRange"":{""start"":21,""end"":22},""rdlType"":""Read a notice.""},{""occurrenceId"":""5.5B-M1-RDL-01"",""set"":""5.5B"",""sourceDate"":""2026-05-05"",""sourceFile"":""5月/Questions/5.5B-M1.pdf"",""questionRange"":{""start"":21,""end"":22},""rdlType"":""Read a notice.""}]","Fall Midterm Schedule","reviewed_canonical","Fall Midterm Schedule
Exams run October 20-24. Divisional time blocks:
• Humanities: 9:00 A.M.-12:00 P.M. • Sciences: 12:00-3:00 P.м. (Lab courses: 1-4 P.M.) • Engineering: 3:00-6:00 P.M. See room assignments in Pemberton Hall and on the Registrar's website. Students must report conflicting exam timing to the Registrar by October 1.","fall midterm schedule exams run october 20-24. divisional time blocks: • humanities: 9:00 a.m.-12:00 p.m. • sciences: 12:00-3:00 p.м. (lab courses: 1-4 p.m.) • engineering: 3:00-6:00 p.m. see room assignments in pemberton hall and on the registrar's website. students must report conflicting exam timing to the registrar by october 1.","sha256:d07a16e6aea3c0cdd83b84055c444fb78fcf7ae27dc72c45b5bbb6ea8c05e4b7","available","44dbdd2388f307d953e84d28aafea8f87175745dcc22aa43a51256a9c62fe824","bdf06062661e9a9b","2144","1350","1.58814815","RDL_DEDUP_PREVIEWS/RDL-007.jpg","800","504","public/reading/rdl/rdl-007/material_final.png","public/reading/rdl/rdl-007/selection_map.json","frozen_verified"
"RDL-008","[""5.5A"",""5.5B""]","[{""occurrenceId"":""5.5A-M1-RDL-02"",""set"":""5.5A"",""sourceDate"":""2026-05-05"",""sourceFile"":""5月/Questions/5.5A-M1.pdf"",""questionRange"":{""start"":23,""end"":25},""rdlType"":""Read an email.""},{""occurrenceId"":""5.5B-M1-RDL-02"",""set"":""5.5B"",""sourceDate"":""2026-05-05"",""sourceFile"":""5月/Questions/5.5B-M1.pdf"",""questionRange"":{""start"":23,""end"":25},""rdlType"":""Read an email.""}]","Greetings From An Eliot Fan","reviewed_canonical","From: avelina@rowancourt.edu
Subject: Greetings from an Eliot fan
Dear Professor Stoll, I am seeking a sponsor for an independent study next semester. I propose to read three of George Eliot's novels and write a paper focusing on Eliot's treatment of social class. I became intrigued by Eliot when I read her novel Middlemarch in your Victorian Literature course and wanted to explore Eliot's work further. Since no courses offered this year include her novels, I can only pursue this project as an independent study. The novels I propose to read are Adam Bede, The Mill on the Floss, and Daniel Deronda. These are extremely long novels, but l am confident that I can complete the reading in one semester. I will also read critical essays on these novels and reviews of them that appeared during Eliot's lifetime. Please let me know if you would be willing to sponsor this project. Regards, Alyssa Avelin","from: avelina@rowancourt.edu subject: greetings from an eliot fan dear professor stoll, i am seeking a sponsor for an independent study next semester. i propose to read three of george eliot's novels and write a paper focusing on eliot's treatment of social class. i became intrigued by eliot when i read her novel middlemarch in your victorian literature course and wanted to explore eliot's work further. since no courses offered this year include her novels, i can only pursue this project as an independent study. the novels i propose to read are adam bede, the mill on the floss, and daniel deronda. these are extremely long novels, but l am confident that i can complete the reading in one semester. i will also read critical essays on these novels and reviews of them that appeared during eliot's lifetime. please let me know if you would be willing to sponsor this project. regards, alyssa avelin","sha256:ba4ff4c388f628a201bad1dc8e68532e77807933ae8e5b926df0ce3f697aeb4b","available","0e2e69285e1657bfafa705397b9b10b5ac2651a1b2c0b49dbba96c8998262591","bf38d03a90adea85","2198","1900","1.15684211","RDL_DEDUP_PREVIEWS/RDL-008.jpg","800","692","public/reading/rdl/rdl-008/material_final.png","public/reading/rdl/rdl-008/selection_map.json","frozen_verified"
"RDL-009","[""5.6A""]","[{""occurrenceId"":""5.6A-M1-RDL-01"",""set"":""5.6A"",""sourceDate"":""2026-05-06"",""sourceFile"":""5月/Questions/5.6A-M1.pdf"",""questionRange"":{""start"":21,""end"":22},""rdlType"":""Read a notice.""}]","Mystery Is A Must-See","reviewed_canonical","Mystery is a Must-See
Our undergraduate theater ensemble, the Hillside Group, will perform The Mystery at Morningside Manor this weekend. Expect intrigue of the highest quality! • Performances: 2:00 P.M. and 7:00 P.M. on Saturday and Sunday • Tickets: $5 for students, $7 for community members-available online or at the door","mystery is a must-see our undergraduate theater ensemble, the hillside group, will perform the mystery at morningside manor this weekend. expect intrigue of the highest quality! • performances: 2:00 p.m. and 7:00 p.m. on saturday and sunday • tickets: $5 for students, $7 for community members-available online or at the door","sha256:25a3c4a8e9d08e6e1aaa311a206d9e546f63f715ebc3cf3c4d82213202050312","available","94678944df3eba03df3126f303baf943a270fdb759f8d03f8274cd1fa0764258","950f4fb82e116bc5","2332","1274","1.83045526","RDL_DEDUP_PREVIEWS/RDL-009.jpg","800","437","public/reading/rdl/rdl-009/material_final.png","public/reading/rdl/rdl-009/selection_map.json","frozen_verified"
"RDL-010","[""5.6A"",""5.19""]","[{""occurrenceId"":""5.6A-M1-RDL-02"",""set"":""5.6A"",""sourceDate"":""2026-05-06"",""sourceFile"":""5月/Questions/5.6A-M1.pdf"",""questionRange"":{""start"":23,""end"":25},""rdlType"":""Read an article.""},{""occurrenceId"":""5.19-M1-RDL-04"",""set"":""5.19"",""sourceDate"":""2026-05-19"",""sourceFile"":""5月/Questions/5.19-M1.pdf"",""questionRange"":{""start"":28,""end"":30},""rdlType"":""Read an article.""}]","Student Film Showcase","reviewed_canonical","ON MARCH 18, FILM STUDIES MAJORS PRESENTED THEIR WORK AT ADLER AUDITORIUM.
Four short films created by students were screened, and each filmmaker answered questions from audience members. The films were striking in their variety. The program began with a whimsical animated film, Insides, depicting the internal organs of a human body interacting with one another like family members. Filmmaker Kat Morgan said the idea came to her while she was taking Human Anatomy 101. Next up was Alan Hinds' sober black-and-white documentary On My Feet, chronicling his brother's unsuccessful attempt to become a champion marathon runner. The third film in the series was Margot Bridges' comedy The Date, about a mismatched couple on a movie date.
And lastly, the audience saw The Friend, Priti Patel's tender depiction of a toddler's relationship with a protective dog. All four films were technically accomplished, engaging, and reflective of each filmmaker's distinctive, individual talents.","on march 18, film studies majors presented their work at adler auditorium. four short films created by students were screened, and each filmmaker answered questions from audience members. the films were striking in their variety. the program began with a whimsical animated film, insides, depicting the internal organs of a human body interacting with one another like family members. filmmaker kat morgan said the idea came to her while she was taking human anatomy 101. next up was alan hinds' sober black-and-white documentary on my feet, chronicling his brother's unsuccessful attempt to become a champion marathon runner. the third film in the series was margot bridges' comedy the date, about a mismatched couple on a movie date. and lastly, the audience saw the friend, priti patel's tender depiction of a toddler's relationship with a protective dog. all four films were technically accomplished, engaging, and reflective of each filmmaker's distinctive, individual talents.","sha256:f56b79413a6c0fea2220678120452cedbb82c3008322edf86b4bf9fb5a13341b","available","fb76ae27c01b3a9c7ec7ce7ed9fccb5013926923595d0c7b7789be92b4603233","a6e6f6948d191999","2428","2514","0.96579157","RDL_DEDUP_PREVIEWS/RDL-010.jpg","773","800","public/reading/rdl/rdl-010/material_final.png","public/reading/rdl/rdl-010/selection_map.json","frozen_verified"
