source_file,question_id,set_id,set_title,question_order,field,stored_value,reference_value,reason,suggested_value
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-1-Q01","202602-0201-1","2.1 - 1","1","correct_order_text","Is","is","correct_order_text chunk matches final_sentence only when casing is ignored","is"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-1-Q01","202602-0201-1","2.1 - 1","1","options_text","Is","is","options_text chunk uses the same inconsistent casing as correct_order_text relative to final_sentence","is"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-1-Q03","202602-0201-1","2.1 - 1","3","correct_order_text","My","my","correct_order_text chunk matches final_sentence only when casing is ignored","my"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-1-Q03","202602-0201-1","2.1 - 1","3","options_text","My","my","options_text chunk uses the same inconsistent casing as correct_order_text relative to final_sentence","my"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-1-Q05","202602-0201-1","2.1 - 1","5","correct_order_text","Miss","miss","correct_order_text chunk matches final_sentence only when casing is ignored","miss"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-1-Q05","202602-0201-1","2.1 - 1","5","options_text","Miss","miss","options_text chunk uses the same inconsistent casing as correct_order_text relative to final_sentence","miss"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-1-Q06","202602-0201-1","2.1 - 1","6","correct_order_text","Focuses","focuses","correct_order_text chunk matches final_sentence only when casing is ignored","focuses"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-1-Q06","202602-0201-1","2.1 - 1","6","options_text","Focuses","focuses","options_text chunk uses the same inconsistent casing as correct_order_text relative to final_sentence","focuses"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-1-Q09","202602-0201-1","2.1 - 1","9","correct_order_text","Have a","have a","correct_order_text chunk matches final_sentence only when casing is ignored","have a"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-1-Q09","202602-0201-1","2.1 - 1","9","options_text","Have a","have a","options_text chunk uses the same inconsistent casing as correct_order_text relative to final_sentence","have a"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-1-Q10","202602-0201-1","2.1 - 1","10","correct_order_text","And","and","correct_order_text chunk matches final_sentence only when casing is ignored","and"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-1-Q10","202602-0201-1","2.1 - 1","10","options_text","And","and","options_text chunk uses the same inconsistent casing as correct_order_text relative to final_sentence","and"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-2-Q01","202602-0201-2","2.1 - 2","1","correct_order_text","Deal","deal","correct_order_text chunk matches final_sentence only when casing is ignored","deal"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-2-Q01","202602-0201-2","2.1 - 2","1","options_text","Deal","deal","options_text chunk uses the same inconsistent casing as correct_order_text relative to final_sentence","deal"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-2-Q02","202602-0201-2","2.1 - 2","2","correct_order_text","Can’t","can’t","correct_order_text chunk matches final_sentence only when casing is ignored","can’t"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-2-Q02","202602-0201-2","2.1 - 2","2","options_text","Can’t","can’t","options_text chunk uses the same inconsistent casing as correct_order_text relative to final_sentence","can’t"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-2-Q03","202602-0201-2","2.1 - 2","3","correct_order_text","Work lately","work lately","correct_order_text chunk matches final_sentence only when casing is ignored","work lately"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-2-Q03","202602-0201-2","2.1 - 2","3","options_text","Work lately","work lately","options_text chunk uses the same inconsistent casing as correct_order_text relative to final_sentence","work lately"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-2-Q04","202602-0201-2","2.1 - 2","4","correct_order_text","Appointment","appointment","correct_order_text chunk matches final_sentence only when casing is ignored","appointment"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-2-Q04","202602-0201-2","2.1 - 2","4","options_text","Appointment","appointment","options_text chunk uses the same inconsistent casing as correct_order_text relative to final_sentence","appointment"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-2-Q05","202602-0201-2","2.1 - 2","5","correct_order_text","Instructions","instructions","correct_order_text chunk matches final_sentence only when casing is ignored","instructions"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-2-Q05","202602-0201-2","2.1 - 2","5","options_text","Instructions","instructions","options_text chunk uses the same inconsistent casing as correct_order_text relative to final_sentence","instructions"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-2-Q06","202602-0201-2","2.1 - 2","6","correct_order_text","Been","been","correct_order_text chunk matches final_sentence only when casing is ignored","been"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-2-Q06","202602-0201-2","2.1 - 2","6","options_text","Been","been","options_text chunk uses the same inconsistent casing as correct_order_text relative to final_sentence","been"
"/Users/rico/Documents/下载/组句标准题库/toefl_build_sentence_202602_supabase_questions_import.csv","202602-0201-2-Q07","202602-0201-2","2.1 - 2","7","correct_order_text","It","it","correct_order_text chunk matches final_sentence only when casing is ignored","it"
